0,2,3,0.0304917779743084
O,B,J,0.021635244952725
B,J,E,0.0225208982548834
J,E,C,0.0230269858561167
E,C,T,0.091728377723542
C,T,I,0.1257627689064838
I,F,SPACE,0.0298591684727667
SPACE,RET,RET,0.0764192277862336
RET,RET,L,0.0161948032394667
RET,L,E,0.0131582776320667
E,SPACE,B,0.0661709538612586
SPACE,B,U,0.0370709167903418
B,U,T,0.0371974386906501
U,T,SPACE,0.1596706381891173
T,SPACE,D,0.1868728467554091
D,E,SPACE,0.4764814765611853
SPACE,L,A,0.229637249059626
L,A,SPACE,0.1987659053843925
S,T,O,0.0282143837687584
O,R,Y,0.0116400148283667
Y,SPACE,B,0.0139174090339167
SPACE,B,I,0.0264430771644417
I,B,L,0.0229004639558084
E,SPACE,C,0.1947172045745258
SPACE,C,SQT,0.0692074794686586
C,SQT,E,0.0709787860729753
SQT,E,S,0.0927405529260087
S,T,SPACE,0.2058511318016592
T,SPACE,M,0.0373239605909584
SPACE,M,E,0.1110862284707171
M,E,SPACE,0.1472714919589006
E,SPACE,F,0.1281666850123422
SPACE,F,A,0.1811793612415341
F,A,I,0.1405658312425589
A,I,R,0.1104536189691754
I,R,E,0.1764980509301257
SPACE,P,E,0.1910480694655841
P,E,N,0.0433970118057585
E,N,S,0.0651587786587919
N,S,E,0.0313774312764668
S,E,R,0.0903366368201503
R,SPACE,À,0.0256839457625917
SPACE,À,SPACE,0.166376298905459
À,SPACE,M,0.0135378433329917
M,A,SPACE,0.011766536728675
A,SPACE,V,0.0332752597810918
SPACE,V,I,0.0828718447019586
V,I,E,0.0476987564162418
I,E,SPACE,0.0452948403103835
O,M,M,0.0895775054183003
E,SPACE,À,0.0427644023042168
U,N,E,0.1158940606824338
C,C,E,0.0135378433329917
S,S,I,0.0666770414624919
S,I,O,0.0454213622106918
P,E,T,0.0115134929280583
E,T,I,0.0173335003422417
T,E,S,0.0708522641726669
E,S,SPACE,0.6756269476465029
S,SPACE,H,0.018598719345325
SPACE,H,I,0.0164478470400834
T,O,I,0.0269491647656751
O,I,R,0.101597085947592
SPACE,E,T,0.2212868036392759
E,T,SPACE,0.2651899030462677
E,SPACE,D,0.3016282103350679
D,O,N,0.0613631216495419
O,N,N,0.0865409798109003
N,N,E,0.0727500926772919
R,SPACE,L,0.1853545839517091
A,SPACE,M,0.0389687452949668
I,È,R,0.0244187267595084
È,R,E,0.0350465663854084
R,E,M,0.0404870080986668
E,M,I,0.0249248143607417
O,N,T,0.1376558275354672
T,SPACE,O,0.0432704899054501
SPACE,O,N,0.1194366738910671
SPACE,A,U,0.1153879730812005
R,A,SPACE,0.0175865441428584
A,SPACE,B,0.0179661098437834
SPACE,B,E,0.0779374905899336
B,E,S,0.0215087230524167
E,S,O,0.0266961209650584
S,O,I,0.0452948403103835
O,I,N,0.0689544356680419
À,SPACE,L,0.0451683184100751
SPACE,L,SQT,0.0111339272271333
L,SQT,A,0.0463070155128502
SQT,A,V,0.013284799532375
E,N,I,0.0180926317440917
N,I,R,0.0187252412456334
I,R,SPACE,0.1374027837348506
R,SPACE,P,0.0718644393751336
P,O,U,0.1825711021449257
R,SPACE,C,0.0775579248890086
