e,m,2369,0.2997303818304429
 ,o,3279,0.41486531111102676
f, ,1021,0.12917886021480887
e,p,656,0.08299836660226702
e,n,8910,1.1273101317472547
a,t,4637,0.5866820517297442
t,i,5534,0.7001721963063197
i,o,3075,0.38905484344812663
o,n,9368,1.1852571620884718
a,n,6373,0.8063240706650118
n,d,3128,0.39576050416446834
n,f,418,0.05288615432888356
n,c,2651,0.3354095577173931
c,e,3546,0.4486466584933519
t,r,3724,0.47116755674823535
r,u,505,0.0638935596557086
u,c,677,0.08565532650874202
c,t,1837,0.23242073086640933
t,u,1544,0.1953498140760675
u,r,5631,0.712444820636228
d,",",121,0.015309149937308399
",", ,5442,0.6885321814779529
 ,c,7354,0.9304420548674873
c,o,4547,0.5752950807019941
o,m,2796,0.3537552332621015
m,p,1445,0.18282414594554244
p,l,1807,0.2286250738571593
e,x,1023,0.12943190401542554
x, ,752,0.09514446903186707
m,b,503,0.06364051585509194
b,i,735,0.0929935967266254
n,a,1108,0.14018626554163394
t,o,2832,0.35831002167320153
r,i,2527,0.3197208420791597
a,l,2977,0.3766556972179099
 ,d,10302,1.3034286169764555
d,o,1264,0.159923681989734
n,s,3382,0.42789706684278517
d,d,120,0.015182628037000065
d,i,1603,0.2028146061942592
o, ,1690,0.21382201152108424
t,s,1402,0.17738370423228408
p,o,2955,0.3738722154111266
o,t,1135,0.14360235684995895
o,l,923,0.11677971398459217
r,t,1794,0.22698028915315097
i,f,991,0.12538320320555887
f,i,1507,0.19066850376465913
i,c,1797,0.22735985485407598
c,i,1327,0.16789456170915903
 ,g,1670,0.21129157351491756
r,a,3219,0.4072739970925267
i,g,868,0.1098210094676338
e,",",1125,0.1423371378468756
o,u,7868,0.9954743116259709
a,b,915,0.11576753878212549
d,r,643,0.08135358189825868
a,w,48,0.006073051214800026
w, ,363,0.045927449811925196
 ,w,1569,0.19851286158377585
w,i,681,0.08616141410997537
d,a,1547,0.1957293797769925
 ,e,5753,0.7278804924738448
a,-,39,0.004934354112025021
-,d,113,0.014296974734841728
a,p,1335,0.16890673691162572
p,p,631,0.07983531909455867
s,c,452,0.05718789893936691
i,e,2756,0.34869435724976816
e,.,1417,0.17928153273690908
e,c,2192,0.27733600547586784
t, ,11133,1.408568316132681
w,o,311,0.03934831099589183
r,k,264,0.03340178168140014
k,s,231,0.029226558971225124
x,p,370,0.04681310311408353
l,o,1313,0.16612325510484238
s,y,205,0.025936989563208442
y,m,55,0.006958704516958363
m,e,4666,0.5903511868386858
e,t,3625,0.45864188861771027
s,f,56,0.007085226417266697
f,o,1671,0.2114180954152259
r,m,997,0.12614233460740887
d,e,7289,0.9222181313474456
e,e,471,0.05959181504522525
p, ,454,0.057440942739983576
c,c,272,0.034413956883866816
t,l,190,0.024039161058583437
m,o,1921,0.24304857049230938
v,a,1087,0.13752930563515892
b,y,138,0.017460022242550076
 ,h,1148,0.14524714155396728
n,n,933,0.1180449329876755
w,e,495,0.06262834065262526
e,y,363,0.045927449811925196
y,l,56,0.007085226417266697
l,’,90,0.011386971027750048
’,s,80,0.01012175202466671
g,u,287,0.03631178538849182
u,i,1785,0.22584159205037596
i,d,1371,0.17346152532272574
i,p,429,0.05427789523227523
e,:,43,0.005440441713258357
 ,_,29,0.003669135108941682
_,w,9,0.0011386971027750048
w,h,509,0.06439964725694194
e,v,1143,0.1446145320524256
 ,y,2211,0.27973992158172617
y,o,2324,0.29403689631656793
u, ,3247,0.41081661030116007
h,a,1702,0.21534027432478425
a,v,1606,0.20319417189518418
e,-,190,0.024039161058583437
-,e,32,0.004048700809866684
o,w,688,0.08704706741213371
y,",",130,0.016447847040083403
m,i,1159,0.14663888245735895
[,.,1,0.00012652190030833387
.,.,325,0.041119617600208505
.,],3,0.00037956570092500164
], ,467,0.05908572744399192
h,o,1110,0.1404393093422506
o,s,1168,0.14777757956013396
l,a,3244,0.41043704460023506
 ,u,2612,0.3304752036053681
r,b,70,0.00885653302158337
b,e,996,0.12601581270710052
d,.,477,0.060350946447075254
.,_,9,0.0011386971027750048
{,{,6,0.0007591314018500033
{,d,3,0.00037956570092500164
e,},21,0.0026569599064750113
},},7,0.0008856533021583371
},{,3,0.00037956570092500164
{,t,3,0.00037956570092500164
i,m,1279,0.16182151049435903
},"
",16,0.002024350404933342
#,r,18,0.0022773942055500096
"
",-,1996,0.25253771301543443
-,-,573,0.07249704887667531
-,"
",178,0.022520898254883428
#,#,1320,0.16700890840700072
s,"
",733,0.09274055292600873
"
",1,305,0.03858917959404183
1,.,316,0.0399809204974335
b,j,179,0.022647420155191764
j,e,1187,0.15018149566599232
b,u,501,0.06338747205447527
u,t,3001,0.37969222282530996
i,b,447,0.05655528943782524
c,',578,0.07312965837821697
',e,1046,0.13234190772251722
 ,f,4202,0.531645025095619
f,a,1673,0.21167113921584257
i,r,2930,0.37070916790341824
p,e,3322,0.4203057528242851
 ,à,1316,0.16650282080576737
à, ,1432,0.1811793612415341
 ,v,2303,0.2913799364100929
v,i,1539,0.19471720457452582
o,i,2659,0.3364217329198598
i,è,247,0.031250909376158466
è,r,277,0.035046566385408484
a,u,1983,0.25089292831142607
l,',1072,0.13563147713053392
',a,1185,0.14992845186537565
c,r,1226,0.15511584977801732
r,é,1325,0.16764151790854237
é,e,578,0.07312965837821697
n,u,396,0.05010267252210021
n,v,348,0.04402962130730019
u,s,2558,0.32364302098871806
p,t,531,0.06718312906372528
.,"
",1383,0.17497978812642576
 ,q,2912,0.3684317736978682
q,u,4465,0.5649202848767108
u,o,203,0.025683945762591774
i,"
",55,0.006958704516958363
s,",",1153,0.14587975105550896
p,h,361,0.045674406011308524
h,r,178,0.022520898254883428
a,s,3141,0.3974052888684767
i, ,2452,0.31023169955603463
 ,n,1812,0.22925768335870098
n,o,1273,0.161062379092509
u,e,3015,0.38146352942962664
g,r,776,0.09818099463926708
n,r,91,0.011513492928058382
c, ,1078,0.1363906085323839
a,",",66,0.008350445420350036
 ,j,1664,0.21053244211306757
j,',302,0.03820961389311683
d,é,940,0.11893058628983384
é, ,916,0.11589406068243382
p,è,26,0.0032895694080166808
t,c,270,0.034160913083250144
u,a,475,0.06009790264645859
b,é,31,0.00392217890955835
o,é,1,0.00012652190030833387
é,s,502,0.0635139939547836
m,è,16,0.002024350404933342
l,d,317,0.04010744239774184
"
",p,223,0.028214383768758452
l,u,1197,0.15144671466907564
 ,:,1381,0.17472674432580906
.,y,26,0.0032895694080166808
u,b,248,0.0313774312764668
m,/,545,0.06895443566804196
w,a,295,0.037323960590958494
h,?,17,0.002150872305241676
